Player,Team,Opponent,Game Date,Best Book,Best Odds,Median Market Odds,Books Quoting,Best Implied Probability,Median Market Implied Probability,Probability-Price Difference,Quote Age,Status
Sean Tucker,TB,CLE,2026-09-20,betrivers,325,192.0,7,0.23529411764705882,0.3424657534246575,0.1071716357775987,1.5720328333333333,PRICE_OUTLIER
Mark Andrews,BAL,NO,2026-09-20,betrivers,175,125.0,8,0.36363636363636365,0.4444444444444444,0.08080808080808077,0.8682415833333333,OK
Xavier Hutchinson,HOU,CIN,2026-09-20,betrivers,350,232.50000000000003,8,0.2222222222222222,0.3007518796992481,0.0785296574770259,1.68743255,PRICE_OUTLIER
Rashod Bateman,BAL,NO,2026-09-20,betrivers,270,190.0,8,0.27027027027027023,0.3448275862068966,0.07455731593662634,0.8682415833333333,PRICE_OUTLIER
Quentin Johnston,LAC,LV,2026-09-20,betrivers,175,129.99999999999997,8,0.36363636363636365,0.4347826086956522,0.07114624505928857,2.2622729,OK
Cade Otton,TB,CLE,2026-09-20,betrivers,350,247.5,8,0.2222222222222222,0.28776978417266186,0.06554756195043965,1.5720328333333333,PRICE_OUTLIER
Jonah Coleman,DEN,JAX,2026-09-20,betrivers,550,359.99999999999994,5,0.15384615384615385,0.2173913043478261,0.06354515050167225,1.1109404666666667,PRICE_OUTLIER
J. Michael Sturdivant,GB,NYJ,2026-09-20,betrivers,1900,800.0,3,0.05,0.1111111111111111,0.0611111111111111,1.6733642499999999,PRICE_OUTLIER
Ted Hurst III,TB,CLE,2026-09-20,betrivers,460,320.0,7,0.17857142857142858,0.23809523809523808,0.05952380952380951,1.5720328333333333,PRICE_OUTLIER
Jaylin Noel,HOU,CIN,2026-09-20,betrivers,425,309.99999999999994,8,0.19047619047619047,0.24390243902439027,0.0534262485481998,1.68743255,PRICE_OUTLIER
Keaton Mitchell,LAC,LV,2026-09-20,fanduel,500,365.00000000000006,8,0.16666666666666666,0.2150537634408602,0.04838709677419353,2.2622729,PRICE_OUTLIER
MarShawn Lloyd,GB,NYJ,2026-09-20,fanatics,170,138.99999999999997,8,0.37037037037037035,0.4184100418410042,0.04803967147063387,2.2233642500000004,OK
