Player,Team,Opponent,Best Book,Best Odds,Median Market Odds,Books Quoting,Best Implied Probability,Median Market Implied Probability,Probability-Price Difference,Quote Age,Status
Jameson Williams,DET,BUF,fanatics,225,190.0,8,0.3076923076923077,0.3448275862068966,0.037135278514588865,5.703287766666667,OK
Ray Davis,BUF,DET,betrivers,480,390.00000000000006,8,0.1724137931034483,0.2040816326530612,0.031667839549612914,5.703287766666667,OK
Amon-Ra St. Brown,DET,BUF,betmgm,115,102.49999999999999,8,0.46511627906976744,0.4938271604938272,0.028710881424059753,5.703287766666667,OK
Isaac TeSlaa,DET,BUF,fanatics,550,450.0,8,0.15384615384615385,0.18181818181818182,0.02797202797202797,5.703287766666667,OK
Dalton Kincaid,BUF,DET,betrivers,195,173.0,8,0.3389830508474576,0.3663003663003663,0.027317315452908664,5.703287766666667,OK
Khalil Shakir,BUF,DET,draftkings,250,222.5,8,0.2857142857142857,0.31007751937984496,0.02436323366555926,5.703287766666667,OK
Keon Coleman,BUF,DET,fanatics,475,409.99999999999994,8,0.17391304347826086,0.19607843137254904,0.02216538789428818,5.703287766666667,OK
Sam LaPorta,DET,BUF,betrivers,230,210.0,8,0.30303030303030304,0.3225806451612903,0.019550342130987275,5.703287766666667,OK
Ty Johnson,BUF,DET,betmgm,400,359.99999999999994,8,0.2,0.2173913043478261,0.017391304347826098,5.703287766666667,OK
James Cook,BUF,DET,betmgm,-155,-165.9036144578313,8,0.607843137254902,0.6239238785681921,0.01608074131329007,5.703287766666667,OK
Buffalo Bills D/ST,,,draftkings,650,575.0,4,0.13333333333333333,0.14814814814814814,0.014814814814814808,1.1699544333333334,TEAM_UNKNOWN
Dawson Knox,BUF,DET,draftkings,550,500.0,8,0.15384615384615385,0.16666666666666666,0.012820512820512803,5.703287766666667,OK
Tyler Conklin,DET,BUF,fanatics,4000,2600.0,8,0.024390243902439025,0.037037037037037035,0.01264679313459801,5.703287766666667,PRICE_OUTLIER
Tay Martin,DET,BUF,draftkings,3500,2450.0,8,0.027777777777777776,0.0392156862745098,0.011437908496732027,5.703287766666667,PRICE_OUTLIER
Jackson Hawes,BUF,DET,betmgm,900,800.0,8,0.1,0.1111111111111111,0.0111111111111111,5.703287766666667,OK
Sione Vaki,DET,BUF,fanatics,900,800.0,8,0.1,0.1111111111111111,0.0111111111111111,5.703287766666667,OK
Jahmyr Gibbs,DET,BUF,draftkings,-270,-284.91228070175447,8,0.7297297297297298,0.740200546946217,0.010470817216487127,5.703287766666667,OK
Keleki Latu,BUF,DET,betrivers,3400,2500.0,6,0.02857142857142857,0.038461538461538464,0.009890109890109893,5.703287766666667,PRICE_OUTLIER
Jared Goff,DET,BUF,fanatics,2200,1800.0,8,0.043478260869565216,0.05263157894736842,0.009153318077803202,5.703287766666667,OK
Brock Wright,DET,BUF,draftkings,1200,1075.0,8,0.07692307692307693,0.0851063829787234,0.008183306055646475,5.703287766666667,OK
Josh Allen,BUF,DET,fanatics,-135,-139.49820788530465,8,0.574468085106383,0.582460341215205,0.007992256108821927,5.703287766666667,OK
Jackson Meeks,DET,BUF,betrivers,4000,3000.0,7,0.024390243902439025,0.03225806451612903,0.007867820613690006,5.703287766666667,PRICE_OUTLIER
DJ Moore,BUF,DET,draftkings,155,150.0,8,0.3921568627450981,0.4,0.007843137254901933,5.703287766666667,OK
Detroit Lions D/ST,,,bovada,800,750.0,4,0.1111111111111111,0.11764705882352941,0.006535947712418305,1.1699544333333334,TEAM_UNKNOWN
Jacob Saylors,DET,BUF,fanatics,2200,1900.0,8,0.043478260869565216,0.05,0.006521739130434787,5.703287766666667,OK
Tom Kennedy,DET,BUF,betmgm,3300,2700.0,8,0.029411764705882353,0.03571428571428571,0.00630252100840336,5.703287766666667,OK
Joshua Palmer,,,betrivers,600,575.0,8,0.14285714285714285,0.14814814814814814,0.005291005291005291,5.703287766666667,TEAM_UNKNOWN
Skyler Bell,BUF,DET,draftkings,2800,2500.0,7,0.034482758620689655,0.038461538461538464,0.003978779840848809,5.703287766666667,OK
Greg Dortch,BUF,DET,betrivers,1600,1500.0,3,0.058823529411764705,0.0625,0.003676470588235295,1.1699544333333334,OK
Buffalo Bills Defense,,,fanduel,750,,1,0.11764705882352941,,,0.05328776666666667,INSUFFICIENT_MARKET|TEAM_UNKNOWN
Detroit Lions Defense,,,fanduel,750,,1,0.11764705882352941,,,0.05328776666666667,INSUFFICIENT_MARKET|TEAM_UNKNOWN
No Scorer,,,fanatics,10000,,1,0.009900990099009901,,,0.2366211,INSUFFICIENT_MARKET|TEAM_UNKNOWN
