season,window,feature_family,present,missing,coverage_pct
2017,last3,carries,7008,0,100.0
2017,last5,carries,7008,0,100.0
2017,last8,carries,7008,0,100.0
2017,season,carries,7008,0,100.0
2017,ewma,carries,7008,0,100.0
2017,last3,targets,7008,0,100.0
2017,last5,targets,7008,0,100.0
2017,last8,targets,7008,0,100.0
2017,season,targets,7008,0,100.0
2017,ewma,targets,7008,0,100.0
2017,last3,touches,7008,0,100.0
2017,last5,touches,7008,0,100.0
2017,last8,touches,7008,0,100.0
2017,season,touches,7008,0,100.0
2017,ewma,touches,7008,0,100.0
2017,last3,carry_share,7008,0,100.0
2017,last5,carry_share,7008,0,100.0
2017,last8,carry_share,7008,0,100.0
2017,season,carry_share,7008,0,100.0
2017,ewma,carry_share,7008,0,100.0
2017,last3,target_share,7008,0,100.0
2017,last5,target_share,7008,0,100.0
2017,last8,target_share,7008,0,100.0
2017,season,target_share,7008,0,100.0
2017,ewma,target_share,7008,0,100.0
2017,last3,touch_share,7008,0,100.0
2017,last5,touch_share,7008,0,100.0
2017,last8,touch_share,7008,0,100.0
2017,season,touch_share,7008,0,100.0
2017,ewma,touch_share,7008,0,100.0
2017,last3,snaps,7003,5,99.93
2017,last5,snaps,7003,5,99.93
2017,last8,snaps,7003,5,99.93
2017,season,snaps,7003,5,99.93
2017,ewma,snaps,7003,5,99.93
2017,last3,snap_share,7003,5,99.93
2017,last5,snap_share,7003,5,99.93
2017,last8,snap_share,7003,5,99.93
2017,season,snap_share,7003,5,99.93
2017,ewma,snap_share,7003,5,99.93
2017,last3,red_zone_carries,7008,0,100.0
2017,last5,red_zone_carries,7008,0,100.0
2017,last8,red_zone_carries,7008,0,100.0
2017,season,red_zone_carries,7008,0,100.0
2017,ewma,red_zone_carries,7008,0,100.0
2017,last3,inside_10_carries,7008,0,100.0
2017,last5,inside_10_carries,7008,0,100.0
2017,last8,inside_10_carries,7008,0,100.0
2017,season,inside_10_carries,7008,0,100.0
2017,ewma,inside_10_carries,7008,0,100.0
2017,last3,inside_5_carries,7008,0,100.0
2017,last5,inside_5_carries,7008,0,100.0
2017,last8,inside_5_carries,7008,0,100.0
2017,season,inside_5_carries,7008,0,100.0
2017,ewma,inside_5_carries,7008,0,100.0
2017,last3,goal_line_opportunities,7008,0,100.0
2017,last5,goal_line_opportunities,7008,0,100.0
2017,last8,goal_line_opportunities,7008,0,100.0
2017,season,goal_line_opportunities,7008,0,100.0
2017,ewma,goal_line_opportunities,7008,0,100.0
2017,last3,goal_line_opportunity_share,6620,388,94.46
2017,last5,goal_line_opportunity_share,6701,307,95.62
2017,last8,goal_line_opportunity_share,6701,307,95.62
2017,season,goal_line_opportunity_share,6701,307,95.62
2017,ewma,goal_line_opportunity_share,6701,307,95.62
2017,last3,red_zone_targets,7008,0,100.0
2017,last5,red_zone_targets,7008,0,100.0
2017,last8,red_zone_targets,7008,0,100.0
2017,season,red_zone_targets,7008,0,100.0
2017,ewma,red_zone_targets,7008,0,100.0
2017,last3,red_zone_target_share,6968,40,99.43
2017,last5,red_zone_target_share,6968,40,99.43
2017,last8,red_zone_target_share,6968,40,99.43
2017,season,red_zone_target_share,6968,40,99.43
2017,ewma,red_zone_target_share,6968,40,99.43
2017,last3,end_zone_targets,7005,3,99.96
2017,last5,end_zone_targets,7003,5,99.93
2017,last8,end_zone_targets,7003,5,99.93
2017,season,end_zone_targets,7003,5,99.93
2017,ewma,end_zone_targets,7003,5,99.93
2017,last3,end_zone_target_share,6819,189,97.3
2017,last5,end_zone_target_share,6804,204,97.09
2017,last8,end_zone_target_share,6804,204,97.09
2017,season,end_zone_target_share,6804,204,97.09
2017,ewma,end_zone_target_share,6804,204,97.09
2017,last3,team_offensive_context,7008,0,100.0
2017,last5,team_offensive_context,7008,0,100.0
2017,last8,team_offensive_context,7008,0,100.0
2017,season,team_offensive_context,7008,0,100.0
2017,ewma,team_offensive_context,7008,0,100.0
2017,last3,opponent_context,6773,235,96.65
2017,last5,opponent_context,6773,235,96.65
2017,last8,opponent_context,6773,235,96.65
2017,season,opponent_context,6773,235,96.65
2017,ewma,opponent_context,6773,235,96.65
2017,last3,route_participation,0,7008,0.0
2017,last5,route_participation,0,7008,0.0
2017,last8,route_participation,0,7008,0.0
2017,season,route_participation,0,7008,0.0
2017,ewma,route_participation,0,7008,0.0
2018,last3,carries,7230,0,100.0
2018,last5,carries,7230,0,100.0
2018,last8,carries,7230,0,100.0
2018,season,carries,7230,0,100.0
2018,ewma,carries,7230,0,100.0
2018,last3,targets,7230,0,100.0
2018,last5,targets,7230,0,100.0
2018,last8,targets,7230,0,100.0
2018,season,targets,7230,0,100.0
2018,ewma,targets,7230,0,100.0
2018,last3,touches,7230,0,100.0
2018,last5,touches,7230,0,100.0
2018,last8,touches,7230,0,100.0
2018,season,touches,7230,0,100.0
2018,ewma,touches,7230,0,100.0
2018,last3,carry_share,7230,0,100.0
