event_id,game,player,sportsbook,american_odds,quote_time,snapshot_time,prediction_time
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Bijan Robinson,draftkings,-125,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Jaylen Warren,draftkings,135,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Rico Dowdle,draftkings,135,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,DK Metcalf,draftkings,185,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Michael Pittman Jr.,draftkings,200,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Drake London,draftkings,275,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Pat Freiermuth,draftkings,370,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Kyle Pitts,draftkings,400,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Pittsburgh Steelers D/ST,draftkings,475,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Brian Robinson Jr.,draftkings,500,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Darnell Washington,draftkings,550,2026-09-13T15:54:41+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
