season,game,event_id,player,normalized_player,player_id,position,team,opponent,kickoff,prediction_time,model_version,expected_team_td,expected_player_td,p_football,best_sportsbook,best_american,best_decimal,median_american_equivalent,median_decimal,books,best_quote_time,best_quote_age_minutes,median_quote_age_minutes,best_vs_median_decimal_deviation,extreme_best_price_flag,p_market_raw_best,p_market_raw_median,edge_best,edge_median,ev_best,ev_median,historical_role_proxy,eligible_at_prediction_time,availability_status,inactive_known_at_prediction_time,ultimately_played,settlement_status,actual_td_count,anytime_td,profit_best_units,profit_median_units,closing_same_book_decimal,closing_median_decimal,closing_same_book_time,clv_best_probability,clv_median_probability
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Akeem Davis-Gaither,akeemdavisgaither,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,6500,66.0,6500.0,66.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.015151515151515152,0.015151515151515152,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,66.0,66.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Andrei Iosivas,andreiiosivas,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,fanduel,2200,23.0,1300.0,14.0,5,2023-09-17T15:51:25+00:00,8.583333333333334,6.033333333333333,0.6428571428571428,true,0.043478260869565216,0.07142857142857142,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,22.0,14.0,2023-09-17T16:52:43+00:00,0.0019762845849802396,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Andrei Iosivias,andreiiosivias,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,betrivers,1500,16.0,1500.0,16.0,2,2023-09-17T15:52:47+00:00,7.216666666666667,7.9,0.0,false,0.0625,0.0625,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,16.0,16.0,2023-09-17T16:53:28+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Ar'Darius Washington,ardariuswashington,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,4000,41.0,4000.0,41.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.024390243902439025,0.024390243902439025,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,41.0,41.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,BAL Defense/Special Teams,baldefensespecialteams,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,betmgm,700,8.0,700.0,8.0,1,2023-09-17T15:54:20+00:00,5.666666666666667,5.666666666666667,0.0,false,0.125,0.125,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,8.0,8.0,2023-09-17T16:54:58+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Baltimore Defense,baltimoredefense,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,fanduel,850,9.5,850.0,9.5,1,2023-09-17T15:51:25+00:00,8.583333333333334,8.583333333333334,0.0,false,0.10526315789473684,0.10526315789473684,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,9.5,9.5,2023-09-17T16:52:43+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,B.J. Hill,bjhill,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,15000,151.0,15000.0,151.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.006622516556291391,0.006622516556291391,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,151.0,151.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Brandon Stephens,brandonstephens,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,2800,29.0,2800.0,29.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.034482758620689655,0.034482758620689655,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,29.0,29.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Cam Sample,camsample,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,15000,151.0,15000.0,151.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.006622516556291391,0.006622516556291391,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,151.0,151.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Cam Taylor-Britt,camtaylorbritt,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,2800,29.0,2800.0,29.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.034482758620689655,0.034482758620689655,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,29.0,29.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Charlie Jones,charliejones,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,fanduel,3300,34.0,1350.0,14.5,6,2023-09-17T15:51:25+00:00,8.583333333333334,6.625,1.3448275862068964,true,0.029411764705882353,0.06896551724137931,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,34.0,14.5,2023-09-17T16:52:43+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Charlie Kolar,charliekolar,00-0038046,TE,BAL,CIN,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,2.152976303261075,0.07278742709350795,0.07020154101935483,betmgm,900,10.0,900.0,10.0,1,2023-09-17T15:54:20+00:00,5.666666666666667,5.666666666666667,0.0,false,0.1,0.1,-0.029798458980645176,-0.029798458980645176,-0.2979845898064517,-0.2979845898064517,true,false,historical_active_status_unverified,false,,policy_unknown,,,,,,,,,
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Chase Brown,chasebrown,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,fanduel,1600,17.0,775.0,8.75,6,2023-09-17T15:51:25+00:00,8.583333333333334,6.625,0.9428571428571428,true,0.058823529411764705,0.11428571428571428,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,14.0,8.875,2023-09-17T16:52:43+00:00,0.01260504201680672,-0.0016096579476861106
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Chidobe Awuzie,chidobeawuzie,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,2600,27.0,2600.0,27.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.037037037037037035,0.037037037037037035,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,27.0,27.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Chris Evans,chrisevans,00-0036857,RB,CIN,BAL,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,2.567112408843036,0.1313328223142913,0.12307413467914596,bovada,1200,13.0,975.0,10.75,2,2023-09-17T15:52:49+00:00,7.183333333333334,6.425000000000001,0.20930232558139528,false,0.07692307692307693,0.09302325581395349,0.046151057756069036,0.030050878865192476,0.5999637508288975,0.3230469478008191,true,false,historical_active_status_unverified,false,,policy_unknown,,,,,,,,,
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Cincinnati Defense,cincinnatidefense,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,fanduel,650,7.5,650.0,7.5,1,2023-09-17T15:51:25+00:00,8.583333333333334,8.583333333333334,0.0,false,0.13333333333333333,0.13333333333333333,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,8.0,8.0,2023-09-17T16:52:43+00:00,-0.008333333333333331,-0.008333333333333331
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,CIN Defense/Special Teams,cindefensespecialteams,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,betmgm,650,7.5,650.0,7.5,1,2023-09-17T15:54:20+00:00,5.666666666666667,5.666666666666667,0.0,false,0.13333333333333333,0.13333333333333333,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,7.5,7.5,2023-09-17T16:54:58+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Daryl Worley,darylworley,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,10000,101.0,10000.0,101.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.009900990099009901,0.009900990099009901,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,101.0,101.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,David Ojabo,davidojabo,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,15000,151.0,15000.0,151.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.006622516556291391,0.006622516556291391,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,151.0,151.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Dax Hill,daxhill,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,2500,26.0,2500.0,26.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.038461538461538464,0.038461538461538464,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,26.0,26.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Devin Duvernay,devinduvernay,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,draftkings,2500,26.0,1200.0,13.0,8,2023-09-17T15:55:32+00:00,4.466666666666667,6.608333333333333,1.0,true,0.038461538461538464,0.07692307692307693,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,26.0,13.5,2023-09-17T16:56:13+00:00,0.0,-0.0028490028490028574
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,D.J. Reader,djreader,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,7500,76.0,7500.0,76.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.013157894736842105,0.013157894736842105,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,76.0,76.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,DJ Turner II,djturner,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,williamhill_us,4500,46.0,4500.0,46.0,1,2023-09-17T15:53:58+00:00,6.033333333333333,6.033333333333333,0.0,false,0.021739130434782608,0.021739130434782608,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,46.0,46.0,2023-09-17T16:54:40+00:00,0.0,0.0
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,Drew Sample,drewsample,,,,,2023-09-17T17:00:00+00:00,2023-09-17T16:00:00+00:00,phase5_hierarchical_frozen,,,,draftkings,1600,17.0,1075.0,11.75,8,2023-09-17T15:55:32+00:00,4.466666666666667,6.608333333333333,0.44680851063829796,true,0.058823529411764705,0.0851063829787234,,,,,false,false,historical_active_status_unverified,false,,unmodeled,,,,,17.0,14.0,2023-09-17T16:56:13+00:00,0.0,-0.013677811550151978
