Player,Team,Opponent,Prop,Sportsbook Line,Model Mean,P(Over),P(Under),P(Push),Best Over Odds,Best Under Odds,Market No-Vig P(Over),Median Over Odds,Median Under Odds,Books Quoting,Model Minus Market,Quote Age,Status
Marvin Mims Jr.,DEN,KC,receptions,1.5,3.806799029820439,0.8931968276878893,0.10680317231211067,0.0,124,-157,0.4232164449818621,121.99999999999997,-159.00000000000003,3,0.4699803827060272,2.390853716666667,MODEL LEANS OVER
Xavier Worthy,KC,DEN,receptions,3.5,5.445226758829591,0.7920161476872998,0.20798385231270022,0.0,125,-154,0.42723631508678234,120.00000000000001,-156.0,5,0.36477983260051744,2.390853716666667,MODEL LEANS OVER
Evan Engram,DEN,KC,receptions,2.5,5.267502261645771,0.8961445276725147,0.10385547232748527,0.0,-133,106,0.5401849043682434,-135.0,104.5,4,0.35595962330427133,2.390853716666667,MODEL LEANS OVER
Travis Kelce,KC,DEN,receptions,4.5,6.150300574275179,0.7345579723634565,0.26544202763654345,0.0,130,-156,0.42123907357629053,123.0,-160.49844236760126,4,0.313318898787166,2.390853716666667,MODEL LEANS OVER
Noah Gray,KC,DEN,receptions,1.5,2.2668682848921113,0.6614340819774042,0.33856591802259584,0.0,136,-169,0.4038022253334316,132.50000000000003,-174.0,4,0.2576318566439726,2.390853716666667,MODEL LEANS OVER
Courtland Sutton,DEN,KC,receptions,3.5,5.316659934610998,0.7766464090351991,0.2233535909648009,0.0,-135,115,0.5417850137421417,-135.49815498154985,105.49999999999997,4,0.23486139529305738,2.390853716666667,MODEL LEANS OVER
Kenneth Walker III,KC,DEN,receptions,3.5,4.3545968273759765,0.6325811921273655,0.3674188078726345,0.0,126,-160,0.41737845934175655,125.49999999999999,-162.48615384615385,4,0.21520273278560897,2.390853716666667,MODEL LEANS OVER
Jaylen Waddle,DEN,KC,receptions,4.5,3.9864613625398038,0.36851808457734153,0.6314819154226585,0.0,-120,100,0.5250272213147474,-126.99212598425198,-102.4780487804878,4,-0.1565091367374059,2.390853716666667,MODEL LEANS UNDER
Tyquan Thornton,KC,DEN,receptions,1.5,1.0261107384674912,0.27384564420185503,0.7261543557981449,0.0,124,-139,0.42402399695120696,121.0,-159.4984326018809,4,-0.15017835274935193,2.390853716666667,MODEL LEANS UNDER
Rashee Rice,KC,DEN,receptions,5.5,5.5321764920023675,0.47658817141499343,0.5234118285850066,0.0,122,-145,0.43297422610118635,116.00000000000001,-154.0,3,0.04361394531380708,2.390853716666667,MARKET_ALIGNED
Adam Trautman,DEN,KC,receptions,0.5,1.0216960270536286,0.6400161202668614,0.3599838797331386,0.0,-233,185,0.6676959270695486,-239.0,185.0,3,-0.027679806802687223,2.390853716666667,MARKET_ALIGNED
RJ Harvey,DEN,KC,receptions,2.5,,,,,-102,-122,0.4774712187375943,-103.4782608695652,-125.49800796812751,4,,2.390853716666667,OK
Pat Bryant,DEN,KC,receptions,2.5,,,,,106,-122,0.4642836954268809,102.49999999999999,-132.4528301886793,4,,2.390853716666667,OK
Kenneth Walker III,KC,DEN,rushing_attempts,16.5,13.678798846433322,0.2169461324415122,0.7830538675584878,0.0,-101,-120,,-104.38277511961722,-122.92682926829268,2,,2.390853716666667,INSUFFICIENT_MARKET
J.K. Dobbins,DEN,KC,rushing_attempts,12.5,14.109099718816887,0.6521944872422415,0.3478055127577585,0.0,101,-125,,-101.91701043436059,-126.96850393700785,2,,2.390853716666667,INSUFFICIENT_MARKET
Bo Nix,DEN,KC,rushing_attempts,3.5,4.912856421739456,0.7225276259378324,0.2774723740621676,0.0,-148,116,,-148.0,116.00000000000001,1,,2.390853716666667,INSUFFICIENT_MARKET
Patrick Mahomes,KC,DEN,rushing_attempts,3.5,2.9734852635879645,0.34682793478135643,0.6531720652186436,0.0,-101,-126,,-101.0,-126.00000000000003,1,,2.390853716666667,INSUFFICIENT_MARKET
Adam Trautman,DEN,KC,receptions,1.5,1.0216960270536286,0.2722220205401624,0.7277779794598376,0.0,205,-290,,204.99999999999997,-290.0,1,,0.8075203833333333,INSUFFICIENT_MARKET
Rashee Rice,KC,DEN,receptions,4.5,5.5321764920023675,0.6474736523177939,0.35252634768220614,0.0,-164,126,,-163.99999999999997,125.99999999999997,1,,0.9741870499999999,INSUFFICIENT_MARKET
J.K. Dobbins,DEN,KC,rushing_attempts,11.5,14.109099718816887,0.7490558374551682,0.25094416254483176,0.0,-120,-108,,-119.99999999999999,-107.99999999999999,1,,0.9741870499999999,INSUFFICIENT_MARKET
