Player,Team,Opponent,Game Date,Prop,Sportsbook Line,Model Mean,Distribution Method,P(Over),P(Under),P(Push),Best Over Odds,Best Under Odds,Market No-Vig P(Over),Median Over Odds,Median Under Odds,Books Quoting,Model Minus Market,Quote Age,Quote Timestamp,Confidence / Data Quality Flag
MarShawn Lloyd,GB,NYJ,2026-09-20,rushing_attempts,13.5,6.0,negative_binomial,0.13996739662948837,0.8600326033705117,0.0,-120,101,0.5274130017570601,-128.9922480620155,-101.91701043436059,4,-0.3874456051275717,1.3262096333333333,2026-09-17T19:43:52+00:00,LOW_HISTORY|MODEL LEANS UNDER
Ryan Flournoy,DAL,WAS,2026-09-20,receptions,2.5,1.1984835445987472,negative_binomial,0.1609864232121012,0.8390135767878988,0.0,-126,104,0.5306122448979592,-130.0,100.0,3,-0.369625821685858,1.1595429666666666,2026-09-17T19:43:12+00:00,MODEL LEANS UNDER
Jonathan Taylor,IND,KC,2026-09-20,receptions,2.5,1.1568408500535807,negative_binomial,0.15314783790650258,0.8468521620934975,0.0,-115,102,0.5143271008979489,-121.48148148148147,-107.44186046511626,4,-0.3611792629914463,1.2428762999999998,2026-09-17T19:43:10+00:00,MODEL LEANS UNDER
Rhamondre Stevenson,NE,PIT,2026-09-20,receptions,2.5,1.5071497088686008,negative_binomial,0.21744826273738457,0.7825517372626154,0.0,-120,120,0.5668912415784408,-152.0,117.0,5,-0.34944297884105624,1.1928762999999998,2026-09-17T19:43:39+00:00,MODEL LEANS UNDER
Adonai Mitchell,NYJ,GB,2026-09-20,receptions,2.5,1.31063083926751,negative_binomial,0.18188211081517147,0.8181178891848284,0.0,-123,105,0.5281576830249397,-130.0,-101.99999999999999,5,-0.34627557220976823,1.8095429666666665,2026-09-17T19:44:04+00:00,TEAM_CHANGE|MODEL LEANS UNDER
Demarcus Robinson,SF,MIA,2026-09-20,receptions,1.5,0.852707115539478,negative_binomial,0.21250784126756592,0.7874921587324342,0.0,-142,111,0.5534407027818449,-144.0,110.00000000000001,3,-0.34093286151427893,0.4928763,2026-09-17T19:43:40+00:00,TEAM_CHANGE|MODEL LEANS UNDER
Bijan Robinson,ATL,CAR,2026-09-20,receptions,4.5,3.103729024741524,negative_binomial,0.2480358882472626,0.7519641117527375,0.0,-139,116,0.5547276114316871,-145.0,110.50000000000004,4,-0.3066917231844245,2.1095429666666665,2026-09-17T19:43:40+00:00,MODEL LEANS UNDER
Kalif Raymond,CHI,MIN,2026-09-20,receptions,2.5,1.2091194988473832,negative_binomial,0.16298255595514927,0.8370174440448507,0.0,106,-124,0.4564539116366858,106.0,-137.0,3,-0.29347135568153654,1.3095429666666665,2026-09-17T19:43:43+00:00,TEAM_CHANGE|MODEL LEANS UNDER
James Cook,BUF,DET,2026-09-17,rushing_attempts,17.5,12.676459421236235,negative_binomial,0.2143976284724856,0.7856023715275144,0.0,-115,-109,0.5030953363598846,-115.00000000000001,-112.00000000000001,3,-0.28869770788739896,1.2262096333333332,2026-09-17T19:43:24+00:00,MODEL LEANS UNDER
Jalen Coker,CAR,ATL,2026-09-20,receptions,4.5,2.5504038119569272,negative_binomial,0.1901276453430391,0.8098723546569608,0.0,101,-125,0.47126795524359055,-100.49751243781094,-128.49805447470817,4,-0.28114030990055144,2.1095429666666665,2026-09-17T19:43:40+00:00,MODEL LEANS UNDER
Jonnu Smith,GB,NYJ,2026-09-20,receptions,1.5,5.621384721115568,negative_binomial,0.7355820632496658,0.2644179367503342,0.0,107,-125,0.45920859794821695,104.99999999999999,-135.0,5,0.27637346530144885,1.8095429666666665,2026-09-17T19:44:00+00:00,TEAM_CHANGE|MODEL LEANS OVER
Christian Watson,GB,NYJ,2026-09-20,receptions,4.5,2.079949513917819,negative_binomial,0.13819732925307426,0.8618026707469257,0.0,136,-155,0.41232411740957287,128.5,-165.78313253012047,4,-0.2741267881564986,1.8095429666666665,2026-09-17T19:42:21+00:00,MODEL LEANS UNDER
Devaughn Vele,NO,BAL,2026-09-20,receptions,3.5,2.3654694059525383,negative_binomial,0.2447074085587289,0.7552925914412711,0.0,-111,102,0.5183691643880289,-123.4817813765182,-105.49763033175356,4,-0.2736617558293,1.0095429666666667,2026-09-17T19:43:12+00:00,TEAM_CHANGE|MODEL LEANS UNDER
Christian McCaffrey,SF,MIA,2026-09-20,receptions,4.5,3.3864882095643094,negative_binomial,0.2757628536713481,0.724237146328652,0.0,-132,106,0.5407914020517831,-135.0,104.99999999999999,3,-0.265028548380435,0.4928763,2026-09-17T19:43:40+00:00,MODEL LEANS UNDER
Tucker Kraft,GB,NYJ,2026-09-20,receptions,3.5,2.7336288694697286,negative_binomial,0.28947137823665287,0.7105286217633472,0.0,-138,125,0.554140127388535,-145.0,110.00000000000001,5,-0.26466874915188215,1.8095429666666665,2026-09-17T19:42:21+00:00,MODEL LEANS UNDER
